"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","lien","mode"
"6761","CO0VO8V000JR","autopista mexico- cuernavaca","Departamento en Venta",2500000,"$",160,NA,3,3,19.2652416,-99.165526,"San Pedro Mártir","Tlalpan","Distrito Federal","CO0VO8V000JR",NA,"Venta"
"6762","CI00L8V003JU","Kilometro 21 12 Autopista Mex - Cuernavaca","Departamento en Venta",3600000,"$",176,NA,5,4,19.26555,-99.1711436,"San Pedro Mártir","Tlalpan","Distrito Federal","CI00L8V003JU",NA,"Venta"
"6763","GR01V8R002KK","AUTOPISTA MEXICO CUERNAVACA","Departamento en Venta",4500000,"$",200,NA,4,4,18.28234757,-98.61002436,"San Pedro Mártir","Tlalpan","Distrito Federal","GR01V8R002KK",NA,"Venta"
"6764","MA0104V003LX","CERRADA DILIGENCIAS","Casa en Venta",4550000,"$",530,600,3,3.5,19.256472,-99.1760961,"San Pedro Mártir","Tlalpan","Distrito Federal","MA0104V003LX",NA,"Venta"
"6765","US0014V026F7","CARRETERA FEDERAL A CUERNAVACA","Casa en Venta",3800000,"$",419,758,3,3.5,19.2541722,-99.1771276,"San Andrés Totoltepec","Tlalpan","Distrito Federal","US0014V026F7",NA,"Venta"
"6766","MA0024V00ARS","Carretera Federal a Cuernavaca","Casa en Venta",3800000,"$",419,758,3,3.5,17.9482116,-99.368081,"San Andrés Totoltepec","Tlalpan","Distrito Federal","MA0024V00ARS",NA,"Venta"
"6767","CA0NE4V001MW","Cerro Papastla No. 3","Casa en Venta",2e+06,"$",196,200,3,2,19.25505754,-99.18083549,"Actopa","Tlalpan","Distrito Federal","CA0NE4V001MW",NA,"Venta"
"6768","MA0024V00BYX","CARR. FEDERAL A CUERNAVACA","Casa en Venta",2590000,"$",233,312,3,3,19.25622935,-99.1765069,"San Andrés Totoltepec","Tlalpan","Distrito Federal","MA0024V00BYX",NA,"Venta"
"6769","ST00B4V001KO","Carretera Federal a Cuernavaca KM 24","Casa en Venta",9e+06,"$",529,660,4,3.5,19.25541906,-99.17788019,"San Andrés Totoltepec","Tlalpan","Distrito Federal","ST00B4V001KO",NA,"Venta"
"6770","SO00B14V002T1","Carretera Federal a Cuernavaca","Casa en Venta",4250000,"$",400,541,3,3.5,19.2567924,-99.1779846,"San Miguel Xicalco","Tlalpan","Distrito Federal","SO00B14V002T1",NA,"Venta"
"6771","IN0HY4V001RO","Tepetech","Casa en Venta",1380000,"$",211,175,2,2,19.234272,-99.162875,"San Miguel Xicalco","Tlalpan","Distrito Federal","IN0HY4V001RO",NA,"Venta"
